full_text,sentiment
Cuma gw gk habis pikir sama ni orang2 yg duit jajannya sebulan melebihi UMR punya mobil gapunya ganggungan ada nyali ngeklaim diri jadi MISKIN. Gila kali foto rumah siapa yg dia pake pas ngajuin? Nyali bgt bikin SKTM. Terus bill listrik gaji ortu dsb lu pake data siapa?,0
5 mobil listrik terlaris sepanjang maret 1. Wuling bingue ev - 817 unit 2. Chery omodo e5 - 608 unit 3. Mg EV 4 - 246 unit 4. Wuling air ev - 229 unit 5. Hyundai ioniq 5 - 93 unit,1
@ridwanhr Apa karena mobil listrik kurang diminati ya?,0
@ridwanhr Beli mobil listrik ini kayak beli hape tiap taun ada teknologi barunya jd hape yg lama pasti harganya bakal turun derastis dan ga ada harganya. Hape makin kesini makin tipis ketahanan batrenya pun lebih lama nah mobil listrik juga polanya begitu,0
Mobil listrik ini hadir dengan compact body design punya fitur keselamatan yang lengkap serta bebas dari ganjil-genap sangat memudahkan kamu untuk melewati segala macam jalan. #WulingMotors #DriveForABetterLife #Airev #DriveForAGreenLife,1
@innovacommunity Mobil listrik? Nggak dulu dech. Dulu ada program BBG aja nggak jalan.,0
@_haikavehsex No mobil itu kebutuhan sekunder. Karena kalau dia punya keluarga bisa dipake buat ini itu dan jatohnya aset. Ga kayak hape. Kalo emang dia kurang tapi bisa beli IP ya berarti dia ga kurang lol. Dengan Uang buat beli IPmu itu bisa dipake buat bayar listrik + makan + dll,0
@SelebtwitMobil Sebenarnya mobil listrik itu dateng kek T*sl* sama Hy*nd** tentunya udh bikin mereka mulai siaga sih.. Mungkin gk keliatan gerak - geriknya Astra but we knew they are aware of the market..,1
@SelebtwitMobil Taxi BB mobil listrik masih terbatas dan akan tetap terbatas. Karena harga argonya beda dengan yg regular. Bahkan BB juga punya armada Tesla.... Kalau ga salah cuma 1 unit. Kalau masih nanya argo berarti anda ga layak order.... wkkkkkkkk,0
@efrimidori @king_b10ends @Heraloebss Congrats Anda Layak Dapet 1 unit Rumah Premium di IKN plus Air Listrik GRATiS seUmur Hidup Sembako Gratis BPJS Gratis sekolah gratis Dari SD Sampe Universitas Setelah lulus langsung dapet kerja d pabrik Mobil Esemka Tesla dgn Gaji 30Jt/ bulan Visa Gratis k China Tiongkok,1
btw tadi aku melihat mobil kesukaan (aka bmw listrik) tapi ga sempet megang² soalnya udah diburu kerjaan lain,1
mobil listrik ini mahal2 amat ya,0
~h luar -jendela besar -include listrik+wifi -kasur guling bantal -ibu kos jualan lotek jadi ga ribet kalo makan -akses masuk 1 mobil parkiran kos jg muat banyak (motor) -deket2 kemana2 karna ini Bandung tengah Kalo mau komen atau dm yaa makasih #zonauang️ #kostbandung,1
@AirinDatangLagi MALAH SHRSNYA SELEPAS 2012 BUMNPUNYA BUMN BARU MOBIL LISTRIK KELAS SEDAN SPORT SALAH SATU YG PERTAMA DI DUNIA BUMN STRATEGIS MULAI PD EXPORT LG 2013 AN ITU. DSB² HASILNYA TNI AL SEKARANG MASUK NO.4 TERBAIK&amp;TERKUAT DUNIA ALUTSISTANYA DARI BADAN AKREDITASI DUNIA. @DPR_RI @jokowi,1
@sidomie Yup rencana awal mau beli mobil listrik malahan kemaren cuma beli kompor listrik om,0
@ws_parsito Akal2an pertamina agar masyarakat beli mobil listrik dan pertamax,1
@Kiky_aji Lu kan sohibnya pak gub wkwk oh subki gaptech beli omoda gue kira belinya mobil listrik,1
@ardisatriawan maka dr itu ide subsidi mobil listrik adalah hal yg tdk menyelesaikan masalah. seharusnya yg di subsidi adalah pembelian kendaraan publik berbasis listrik dan operasionalnya. jadi bisa mengurangi beban jalan,0
para pemilik kendaraan listrik. Dengan tersebarnya lokasi2 SPKLU ini pengguna kendaraan listrik atau electric vehicle (EV) tidak perlu khawatir dalam melakukan perjalanan jauh. Kemudahan layanan SPKLU PLN diapresiasi oleh Azis salah seorang pemilik mobil listrik di Kota Palopo.,1
@thoriqmm Motor dilarang orang orang pake mobil atau bahkan kuda dg asumsi sepeda listrik sepeda dg mesin itu masuk kategori sepeda motor yg dilarang. Tetap kecelakaan lalu lintas bakal banyak. Solusi akhir itu jalan raya hanya untuk kendaraan umum dan angkutan logistik,1
@DidiekMurdock Masih inget sama mahasiswa yang pertama kali membuat mobil listrik (setahu gue) disini malah di pandang remeh ehh di luar negeri malah dapat apresiasi terus ada yang mau beli,1
gue ga cocok keknya pake mobil listrik kurang 2 persen aja langsung pgn gue cas wkwkwk,0
@desysaraswati_ @Dee_Bourne_ Anda salah menanggapi apa yang dikatakan netizen disitu ya jangan dipercaya. Logika sederhana mana bisa mobil jalan tanpa mesin? Klo pernyataan mereka ngga ada mesin tapi tetep hidup ya karena ngga paham konsep mobil listrik aja.,1
@joombajookiba Kosanku di kemang waktu itu 1.6 udah kamar mandi dalem wifi listrik air parkiran motor (kalo mobil baru ada tambahan) dapur bersama (gas disediain) meja belajar di kamar.,0
@Alberto06Fans @ardisatriawan Yang ada malah jadi anggaran kendaraan operasional ganti jadi mobil listrik dan motor listrik lalu kasih subsidi untuk masyarakat buat beli. Kepentingan yang lebih dibutuhkan dibiaskan pake kebijakan subsidi dsb.,0
@infinitumartem gak gitu loh pak! nyetir mobil listrik haha. :) yasudah yang penting safety ya!,1
@R0ADRACE Oh di sirkuit ya? Saya kira di jalan-jalan seperti di film Fast and Furious hahaha. Hahaha thanks pak but no. Saya nyetir mobil listrik dengan normal saja hahaha.,1
@virelkan Jadi mereka lagi ikut lomba yg nyelenggarain itu Shell banyak kampus² yg ikut Mereka bikin mobil yang tenaganya dari nitrogen listrik dll. Yang penting bukan siapa paling cepet tapi siapa yg paling hemat TRUS ternyata di dalem situ ada yg ngendarain sambil tiduran wow,1
omongannya om Rifat sungkar di podcast kasisolusi fulll daging tenan pas part part mau ending soal mobil listrik bisa ngecharge sendiri tanpa ke spklu juga pernah aku diskusikan sama temenku,1
@iwanfals .mangkanya jepun kliatan gk agresif di Mobil listrik,1
@txtdrbekasi Ada 2 kemungkinan: 1. dijadikan Tukang Parkir PLN ngisi Mobil Listrik bayar trus dikenakan bayar lagi sama Tukang Parkir jadi 2x lipat 2. tiang disana yg berhubungan dgn pengisian pada hilang,0
@Ilham_surya8 @calomagang Lahh dia biasa motor/mobil listrik mungkin jadinya bingung pas pakai kendaraan BBM,1
@Mdy_Asmara1701 Masih banyak sih jabatan yg bisa diberikan ke opung : ketua komite makan siang Indonesia ketua Tim pengembangan kota2 baru sawah di kalimantan mobil listrik nasional ketua pengarah ekspedisi Indonesia ke mars sbg kelinci percobaan elon musk dsb,1
Aki lemah~ Selain merhatiin part-part yang ada di bagian lampu Suzuki Family juga harus make sure kalo aki mobil kamu gak lemah. Biar aliran listrik yang tersalurkan ke bagian lampu mobil gak keganggu deh. Jangan biarkan lampu mobilmu redup ya Suzuki Family! Temukan solusi,1
@Don_gindo Seorang pejabat yg begitu sederhana Bp @jokowi dan ingin membuat Indonesia maju dengan produk dalam negeri .Tapi negara tidak merespon apalagi mengapresiasi. Seperti mobil listrik ditemukan Bp.@iskan_dahlan tp dikembangkan oleh China. Masyarakat Indonesia jg yang membeli.,1
@fernandoian_ skip gw perbaiki penyebaran akses listrik di indo ️ sama pembangkitan mobil listrik di indo or di porsche,1
@innovacommunity Yang naik transportasi umum masih sedikit jumlah mobil listrik juga belum sebanyak negara-negara maju para pemilihnya kebanyakan wong cilik tapi bisa-bisanya menghapus BBM kebanggan wong cilik,1
@HenryManullang4 Wuling EV bikin perubahan besar di industri otomotif Indonesia bisa makin ramah lingkungan sih dgn kehadiran mobil listrik ini,1
@ridwanhr Polytron ga mau bikin mobil listrik juga?,1
Otw beli mobil listrik biar tau tempat ngecas di tol jkt,1
@Ronnie_Rusli Iya Tesla telah kalah tahtanya diambil BYD eCar China sebagai pabrik mobil listrik nomor satu dunia Prof bikin Elon musk sakit kepala,1
: tapi kan berat? : emang ada yg ga berat? : ga ada sih : jadi mau ga? : ah ga mau ah tar ujung2nya bersyarat. udah mending mobil listrik aja deh jelas bolehnya :3 : yaudah makanya kumpulin uang yg banyak kerja! biar bisa beli : iya iya ‍,1
@ridwanhr Didepok showroom mobil listrik aneh2 namanya om....,1
Presiden Jokowi mengatakan mobil listrik akan menjadi kebutuhan dunia ke depan. Merek mobil terkenal di dunia kata dia berl,1
Saat kita pergi ke mal ada pameran mobil listrik yg kamu sempat cari kemarin dan seorang sales datang kepadamu dan menawarkan untuk test drive. Selama test drive sales tersebut menawarkan promo jika membeli mobil listrik hari ini akan mendapatkan undian gratis ke Korea selama-,1
Lalu sejak kamu melihat video itu kita jadi sering mencari informasi soal mobil listrik. Suatu ketika kamu buka sosmed kamu muncullah iklan tentang mobil listrik yang kamu cari. Terlebih mobil yang dilihat sedang promo harga. Nah ini adalah aktivitas 𝐚𝐝𝐯𝐞𝐫𝐭𝐢𝐬𝐢𝐧𝐠.,1
Contoh simple-nya sih gini: Saat kamu sedang melihat review sebuah mobil listrik keluaran terbaru Wah pakai mobil listrik ini biayanya cuma 10% dari biaya menggunakan BBM . Seketika minat kita terhadap mobil listrik muncul. Nah ini adalah aktivitas 𝐦𝐚𝐫𝐤𝐞𝐭𝐢𝐧𝐠.,1
Wah sekarang sudah enggak perlu khawatir lagi mudik perjalanan jauh dengan mobil listrik! Kini PLN sudah menghadirkan Stasiun Pengisian Kendaraan Listrik Umum (SPKLU) di seluruh rest area yang tersebar di sepanjang Tol Trans Sumatra-Jawa.,1
@sociotalker ini yg ngomong mobil listrik buatan pak dahlan nggak lulus uji emisi ya ternyata ada main sama cina buat industri mobil listrik,0
Anak Luna mati satu karena keplindes ban mobil. Pas lagi mati listrik bapak mertua mundurin pick up nah anaknya lari trus keplindes,0
@EldenNadin Setuju banget semakin banyak mobil listrik diproduksi semakin ramah lingkungan kan,1
Mr.bean dahulu kan sempat bilang mobil listrik itu justru bilang tidak bebas emisi kan dan limbahnya sulit terurai kan?,0
@irwndfrry Pertama kali saya jatuh cinta sama mobil listrik especially Hyundai Ionic ya karena video endorsenya bro @irwndfrry,1
Pas udah hampir decide ga mau ambil mobil listrik malah ngeliat fisik EQA 250 jadi galau lagi. Siaul,1
Pas di Lampu Merah sampingan sama Mobil Listrik Imut Warna Pink. Pengemudinya nutupin layar speedometer dan macam2 info yang lebarnya setengah dashboard itu pakai jaket. Apa Mobil jaman sekarang emang melelahkan mata ya? Imho layar monokrom mobil2 jaman dulu lebih bikin nyaman,1
Industri otomotif bertransisi menuju kendaraan listrik dengan adopsi regulasi yang mendorong mobil ramah lingkungan,1
@tanyakanrl kayanya di rumahnya pake water heater lift pribadi kompor listrik mobil listrik kulkas 4 pintu ada kolam renang,1
anjir tadi pulang ketemu mobil listrik tulisan YIRUMA WORLD TOUR samoe mikir lah emang mau wt kah? barusan liat di google ternyata iya di ji expo,1
Stetoskop ini didesain anti shock agar Anda tidak tersengat listrik dan memperbaiki mobil dengan lebih nyaman dan ama,1
@tanyarlfes ktanya mobil listrik jd nyla trs kl emg nyala emg gd rem tngan nya kh,1
@irwndfrry Entah kenapa vibenya mirip dengan semangat menggunakan mobil listrik.....,1
Terdapat LCD kecil pada charger mobil ini yang berfungsi untuk menampilkan informasi tegangan listrik. Dengan begitu Anda bisa memantau arus dan mendeteksi kejanggalan jika angka yang ditampilkan tidak stabil,1
@denifisi Wkwkwkw.. petir itu ganggu ya.. soalnya si jeep lagi promo mobil listrik juga,1
@stvereotype @_iamrobot_ @tanyakanrl Mobil listrik bukannya bisa pisah meteran ya bikin baru biar wattnya gede juga dapet subsidi lagi?,1
pgn mobil listrik:(,1
@tanyakanrl Mungkin di rumah semuanya serba listrik mobil listrik motor listrik sepeda listrik kompor listrik pager listrik selimut listrik sendal juga listrik,1
@_iamrobot_ @tanyakanrl mungkin dia punya mobil listrik motor listrik sepeda listrik ak yg sama ruko aja 2-3 jutaan itu mah dia keknya ada mobil listrik sih i guesssss,1
@dwihandaanda Ekspresi abis bayar KPR listrik wifi mobil SPP PBB PPH21 ART Security kang sampah belanja bulanan keranjang shopee keranjang kuning,1
@_iamrobot_ @tanyakanrl Listrik sendiri buat mobil listrik deh aku juga sekitaran segitu kok tiap bayarin listrik dirumah ortu,1
Produsen mobil ato motor listrik kudu dibikinin regulasi supaya mesinnya ada suara dikit kalo lagi jalan.,1
@feedemady ngalahin mobil listrik,0
also kenapa jadi banyak anak kecil pake sepeda listrik di jalan yang rame mobil deh? gue aja masih rada gimana makenya pas pake sepeda listrik juga selalu pake helm gue ama bebe ni bocil malah triceng kadang forceng,0
ada orang parkir depan rumah yang buat gue jadi rada effort buat parkir ((lagi pake mobil karna bebe bilang mau ujan biasanya mah ngeng pake sepeda listrik)),0
@ardisatriawan gw tambahin - sekolah biaya sendiri - Biaya Kesehatan biaya sendiri - bisnis modal sendiri - listrik bayar sendiri - Motor beli sendiri - Mobil beli sendiri - Rumah beli sendiri apa sumbangsih negara ke rakyat ?,0
Terus H-1 lebaran pun aku cma pegang duit 700k Dan itupun duit buat bayar listrik air mana kurang lg buat byar lainnya tibatiba mobil disewa 6 hari YaAllah monangis alhamdulillah Terus lanjut di sewa lg 3 hari jd bisalh bertahan hidup n dibantu endi juga byar wifi,0
yg mendapat bantuan (Pak RT) kondisinya sbb : rumah 2 lantai - punya mobil - dan daya listrik bukan 450W. cont,1
Keluarga aku sangat amat menengah keseharian hanya cukup untuk memenuhi kebutuhan dasar (makan listrik air pulsa bensin). Ngeliat temen-temen bahas bahas model mobil Iya dulu aku hampir beli itu tapi gak jadi feels like that isn t my world where I don t belong.,1
@LubekaMica @twatwamasi @tanyakanrl pake mobil listrik ya? klo iya ya wajar,1
@mulkanjabariyan @PuangRahmang Untuk EMP silahkan cari di google.. Atau di Wikipedia.. Waktu percobaan nuklir th 45an sudah diketahui dampak lecutan itu ke peralatan listrik jaman itu. Semua lampu mati.. mobil yg pakai tembaga mati.. Yg hidup hanya mesin diesel yg tidak pakai listrik,0
petir kenceng bgt td sampe mobil alarmnya pd bunyi plus rumah tetiba sampe mati listrik dgn bbrp tetangga lainnya.,0
@pln_123 hallo tolong d bantu yaaa ini daritadi charge mobil di splku hotel royal ambarukmo tapi not charging terus pulsa sudah ke sesot tp listrik kagak masuk dan eror ud bbrp macam cara d coba masi ga bisa juga,0
@Widino Aki di mobil mas apalagi kalau aki nya masih nyolok dimobil sebelum ditinggal lama ga dipakai. Jadi sebisa mungkin kendaraan dipanaskan seminggu 2x mesinnya biar aki-nya jg terisi listrik,1
@nerosalt Melakukan adegam dewasa sama suami di malam hari (bahas bayar cicilan rumah mobil bayar listrik tabungan masadepan anak),1
@kegblgnunfaedh Bisa buat cas mobil listrik tuh keknya,1
@CNNIndonesia Keren. Mobil listrik.,1
@kegblgnunfaedh Ya bisa pakai colokan listrik yang buat ngecas mobil di pln,1
@CNNIndonesia Esemka gagal bahkan mobil listrik era Dahlan Iskan aja udah punah,0
@Tarhadiocean @ata0923 @muchlis_ar Betul Jaman Soeharto rakyat ngga butuh neko . Motor kusus PNS apalagi mobil. Hp belum ada. TV ngga ada. Listrik ngga ada. Kebutuhan hidup sedikit. Tetapi jangan tanya ya loe mo ke kota jam 1 harus sudah bangun jalan kaki sejauh 10Km baru ada angkutan.,0
@PT_Transjakarta @geraldvarez Ya mending naik transportasi pribadi kalo gitu. Hidup mobil listrik!!! Hidup LBP dan Jokowiii!!!,1
@briandito - Itu aku suka yang battle pakai mobil yang senjatanya tergantung jenis mobilnya. Ada yang pakai penghantar listrik ada yang bisa keluarin tawon. Ada yang taukah nama gimnya? - Big Ol Bass buat keliling dunia mancing ikan aneh-aneh - Cyborg Kuro-chan - Crash Banditcoot - CTR,1
@agusprasojo494 @mapedos01 Bukannya ktt bali pakai mobil listrik semua Aku pesen dong alphart yg versi listrik,1
tiket pesawat kena iuran pariwisata tar tiket kereta kena iuran buat bayar utang KCIC naik mobil tar pajaknya naik demi transformasi ke EV naik mobil listrik spklu nya terbatas mancal pedah ae wes mboh karepmu,0
Harapannya dengan adanya listrik ini hasil produksi dari smelter PTFI bisa support industri lainnya kayak pabrik kabel atau mobil listrik guys!,1
@DakotaGeorgy @DivHumas_Polri Congrats Anda Layak Dapet 1 unit Rumah Premium di IKN Nusantara plus Air Listrik GRATiS seUmur Hidup sekolah gratis Dari SD Sampe Universitas Setelah lulus dapet kerja d Pabrik Mobil Esemka Tesla dgn Gaji 30Jt/bulan VISa Gratis k China Tiongkok.,0
Tapi dipikir-pikir mobil listrik di sini juga kalo ditarik hilir ke hulu gak ramah lingkungan amat.,0
Di tengah gandrung mobil listrik selera gua tetep ke mobil MPV lawas kaya Kuda/Panther mesin diesel--tangguh kuat segala medan--minusnya gak ramah lingkungan aja sih.,0
@del_paijo Yakin jadi buruh pabrik batre mobil listrik &amp; iphone kyk kongo,1
@IkhwanMetal @realfedinuril Dia bayar Pajak brapa? Emang dia nggak nikmatin subsidi dari Pemerintah. Gw yakin mobil dia Pertamax Turbo listrik rumahnya diatas 4500Va dan makan beras premium tanpa subsidi pupuk menikmati jalan tol. Taek lo artessss kagak laku bacot doang.,0
@kerissakti Udh bikin sendiri ujung2nya disleding kek mobil listrik esemka wkwkwkwk,0
Garasi + Carport : 4 Mobil Listrik : 3.500 Watt Legalitas : SHM+IMB+PBB Lingkungan Tenang Akses Jalan Lebar Security 24 Jam Bebas Banjir,0
